business_status,formatted_address,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,types,user_ratings_total
OPERATIONAL,"Yeni Sanayi, 2819. Sk. D:No No:13, 02040 Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.75206379999999, 'lng': 38.2436488}, 'viewport': {'northeast': {'lat': 37.75351767989271, 'lng': 38.24492327989272}, 'southwest': {'lat': 37.75081802010727, 'lng': 38.24222362010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Adiyaman private Park Hospital,{'open_now': True},"[{'height': 4160, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100391953121004831042"">A Google User</a>'], 'photo_reference': 'AfLeUgPeBDvP4eG2DFA8B8pidcUDFWFo4OS10lBvNDUNzYifD_enunBMlfugvBHbPtPT35qoWy1OP0urbgjEU1gQIF6cCTFeZBimpVDPYnSvG7EoYI94yrh1qpQvyN6vWHg1GlN75NNGo4LMYflrbXfoswEhoeVR9clFKSw76Y-kfMzjCLCP', 'width': 3120}]",ChIJ-3iFssYTMxURMbh1Qf2JXto,"{'compound_code': 'Q62V+RF Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ62V+RF'}",2.5,ChIJ-3iFssYTMxURMbh1Qf2JXto,"['hospital', 'health', 'point_of_interest', 'establishment']",126
OPERATIONAL,"Eskisaray, Türk Telekom karşısı, 702. Sk. No:8, 02100 Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7618896, 'lng': 38.2710756}, 'viewport': {'northeast': {'lat': 37.76314022989272, 'lng': 38.27247687989271}, 'southwest': {'lat': 37.76044057010728, 'lng': 38.26977722010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Ozel Gozde Tip Merkezi,{'open_now': True},"[{'height': 315, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100082866185188368975"">Özel Gözde Tıp Merkezi</a>'], 'photo_reference': 'AfLeUgPunolRbUF8T3UU7LVxxdwFypgOaxKP4blJiTTJwoPMJQrjQcNb2EYuWfTwP9TVb-B3sPYNwL_0gOmYvP9IVKny7xJ_yoRdnE-e2HmUdMYC9IYR-LwEWSUiBMuWm-4fUOPZvyHzpEcurlaV4sN1J5Ya2b83OM0-bTD-5wdSn_oztWsV', 'width': 851}]",ChIJIUGYTIYUMxUR_O0ATPH98dI,"{'compound_code': 'Q76C+QC Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ76C+QC'}",4.3,ChIJIUGYTIYUMxUR_O0ATPH98dI,"['hospital', 'health', 'point_of_interest', 'establishment']",380
OPERATIONAL,"Yunus Emre, Adıyaman Alman Hst. No:2, 02200 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7625968, 'lng': 38.2998353}, 'viewport': {'northeast': {'lat': 37.76396477989272, 'lng': 38.30124512989272}, 'southwest': {'lat': 37.76126512010728, 'lng': 38.29854547010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Adıyaman University Children's Hospital,,"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112437208778175870153"">A Google User</a>'], 'photo_reference': 'AfLeUgOWkM4DD3UPNUp0olgOOlX9JuPpDc0F7ts5M45CCAwYqaH46dAAdD8vt5hj6RI52kMycAX1qvhh1VVZ7hsLDDPUmRmc5F3A5lDaq45EzXid6Vp-iOCSMHTBcWp2T8jVC669DV9ulajQCpt4Lc-0CV3_RuEyzPcTOMLuihUPIBwn0nVV', 'width': 2322}]",ChIJOcdA06AUMxURl6RAuN5ZYdA,"{'compound_code': 'Q77X+2W Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ77X+2W'}",3.2,ChIJOcdA06AUMxURl6RAuN5ZYdA,"['hospital', 'health', 'point_of_interest', 'establishment']",5
OPERATIONAL,"Yunus Emre, 1164. Sk. No:13, 02200 Merkez/Adıyaman Merkez/Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7674809, 'lng': 38.3234053}, 'viewport': {'northeast': {'lat': 37.76908312989272, 'lng': 38.32481922989273}, 'southwest': {'lat': 37.76638347010727, 'lng': 38.32211957010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Adıyaman Devlet Hastanesi,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105718950343934562658"">ozay</a>'], 'photo_reference': 'AfLeUgOqQkgvyTMw7WQ1EYqQKdTXj20olGMMDkMZGVWOTHbhLODLRY6azJ5uLriNK4Ct6ir2TRjwR0IGIbcuxtZAaHdwnoUY-YpPbmWLxTjBaOLrChSBRjTR05sdDZ3dKWE0jYlLVnl_ppjVxucKqEqjkC6ujCDp_edpw8kQeML5I1oEC8GL', 'width': 3264}]",ChIJoUaSfIETMxURu0pd1ZCaqps,"{'compound_code': 'Q88F+X9 Ziyaretpayamlı, Adıyaman Merkez/Adıyaman', 'global_code': '8G9WQ88F+X9'}",3.7,ChIJoUaSfIETMxURu0pd1ZCaqps,"['hospital', 'health', 'point_of_interest', 'establishment']",16
OPERATIONAL,"Barbaros Hayrettin, 02040 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.755973, 'lng': 38.2509562}, 'viewport': {'northeast': {'lat': 37.75739792989272, 'lng': 38.25250097989272}, 'southwest': {'lat': 37.75469827010727, 'lng': 38.24980132010728}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Sgk Hastanesi,,,ChIJ27mAJscTMxURSHJ3qxJy-5A,"{'compound_code': 'Q742+99 Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ742+99'}",4.7,ChIJ27mAJscTMxURSHJ3qxJy-5A,"['hospital', 'health', 'point_of_interest', 'establishment']",3
OPERATIONAL,"Merkez, 1164. Sk. No:13, 02100 Ziyaretpayamlı/Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.7674676, 'lng': 38.322806}, 'viewport': {'northeast': {'lat': 37.76869317989271, 'lng': 38.32409767989272}, 'southwest': {'lat': 37.76599352010727, 'lng': 38.32139802010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Adıyaman Üniversitesi Eğitim Ve Araştırma Hastanesi,{'open_now': True},"[{'height': 2848, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101045773097348265609"">A Google User</a>'], 'photo_reference': 'AfLeUgNE78DBmJT7k8r4cIADvS8XkYUk-j5bNVM7rKCkmB6m51sYfvsVQZbT5U5L2L0Tcu62mjya2lPdtAcSyh7H4HPDhLgVCi3Q0pNfEiZ0CSNGhhN5Br8YZJDw7eFxA1IQ3_9IqOpLvv6nkEM3rgDbLTQ6zxT8qY99_mb55a9CtlEzaoAS', 'width': 4272}]",ChIJ-a7-IscTMxURxy2HNEmyJ0w,"{'compound_code': 'Q88F+X4 Ziyaretpayamlı, Adıyaman Merkez/Adıyaman', 'global_code': '8G9WQ88F+X4'}",3.8,ChIJ-a7-IscTMxURxy2HNEmyJ0w,"['hospital', 'health', 'point_of_interest', 'establishment']",219
OPERATIONAL,"Yunus Emre, 02200 Adıyaman Merkez/Adıyaman, Türkiye","{'location': {'lat': 37.76293829999999, 'lng': 38.3004143}, 'viewport': {'northeast': {'lat': 37.76435262989271, 'lng': 38.30196642989272}, 'southwest': {'lat': 37.76165297010727, 'lng': 38.29926677010727}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/hospital-71.png,#F88181,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hospital-H_pinlet,Adıyaman Üniversitesi Kadın Doğum ve Çocuk Hastanesi,{'open_now': True},"[{'height': 4128, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104801209853682694866"">Kenan Duraz</a>'], 'photo_reference': 'AfLeUgO8nYeR2SLSyP2bKNzteG8YvfxgFf0-mVONg0_WNm7yKciUF44ykHgMAKQGDarmzGOLOVRjzyoHxAva_MelYVwEpRZpsO3PjWdfZprQmTxkcmZIsD8C2vRPzKEgZp-PGv5YY_acFDa0shSeZa4YGijN2kqbuBcfX2dENWELNdaegos1', 'width': 2322}]",ChIJVXwI2KAUMxUR7CBlBe12Uc0,"{'compound_code': 'Q872+55 Adıyaman Merkez, Adıyaman', 'global_code': '8G9WQ872+55'}",2.9,ChIJVXwI2KAUMxUR7CBlBe12Uc0,"['hospital', 'health', 'point_of_interest', 'establishment']",44
